Generation,Best Weight
1,100001101110100110110000010001110001101111111010101001011001110001110111111001100001101101110110101001100010010000111110100000111011011100101001101100001010110100010001010011100110011000100111001100100000100010010101000000110101001111110110100001011001110010110010111101010100111101101111100100101001101000011001110001010011010110000111110110011110111011100100111111101111101000100110101001101001110100111010101011011100110100001110101100001100011011111100111100101001111011011011010111000111000100000001000010000111110101011011101010100111010110000000100101110000000100010000101111111011000010100110111111000010110010010111010110101101001001101100111100101001100111111110110001011011110000001100000110100110110011011100110000011001011010010110010011110001110100011010111011010010101001011000000000100010100100010001001011101010100011000001001111011101000110000100010011100001101100010111100101010000000001010011100001000100010100000001011101000011110100011100
2,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
3,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
4,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
5,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
6,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
7,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
8,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
9,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
10,000011011100001100101111100110000010110000011110111101100111100011100110101011110101100011101100101010000100010001001000100111010000110001010000000011111111011001111001100000100100001011000100001011001110000111101000001101010111101101000000100001001101101001000110010100111001101110111100100000011110000000100011010000101001001000010001011100100000111111111001000101100001100001110100101011101001001110111010110110010000111000010100001100110001001011010110000111101010011111011001001001110111101000010100001111011000001110001001001101100100111011010010011000110110111000000101010000001001100011000101011011111101010001010000000110101001100101101110101011100101011001000001010000000001010010100011010001010000100100100011101011111101011110111000110000011000001000111111000001101001101111100100011010000110011110011101111000011001011110110010010111011100010011010100111101101110111011111100010000001110000101101000001000101100100100110111100111011010011111110000
