Generation,Best Score,Medium Score
1,591,50.11
2,2688,70
3,4731,99.6
4,1377,74.92
5,1011,71.74
6,545,56.99
7,813,71.96
8,2331,82.28
9,1822,100.67
10,1554,105.87
11,544,75.89
12,400,59.99
13,813,63.27
14,1049,68.36
15,628,71.49
16,480,54.12
17,6192,119.4
18,2804,108.17
19,2130,91.77
20,3470,114.26
21,3293,111.55
22,1488,95.58
23,2260,133.73
24,1111,84.65
25,1470,118.61
26,1267,116
27,492,80.81
28,1195,76.07
29,825,80.85
30,637,68.5
31,1944,94.64
32,759,85.88
33,2277,102.11
34,1462,80.55
35,575,65.59
36,373,66.92
37,1441,88.18
38,1098,86.19
39,671,89.02
40,3279,129.77
41,1560,95.01
42,6099,165.76
43,798,92.93
44,747,103.02
45,692,102.21
46,1780,121.89
47,5456,156.28
48,1389,130.32
49,1596,146.18
50,12274,279.22
51,10839,330.39
52,43794,638.65
53,4929,189.15
54,8098,295.22
55,45399,633
56,13392,556.58
57,9646,250.94
58,25876,441.51
59,8461,503.22
60,13431,392.17
61,12993,613.72
62,41380,965.56
63,12919,743.12
64,12519,1105.16
65,27253,1081.58
66,31344,1183.11
67,42547,1075.01
68,18423,1030.8
69,19297,1302.63
70,13077,1424.64
71,12960,1481.28
72,25177,1000.68
73,16643,1694.98
74,24042,1491.83
75,15227,1704.3
76,16612,1500.44
77,27834,2031.82
78,6048,1198.24
79,26883,1815.31
80,15447,2091.34
81,16923,2096.32
82,19842,1063.1
83,33489,2252.62
84,23148,2421.54
85,29616,4216.12
86,29763,3936.55
87,17754,2268.8
88,16473,4336.67
89,27005,2733.67
90,74202,2692.39
91,57714,3638.93
92,81714,7700.61
93,61377,5477.17
94,82950,6688.39
95,59340,7889.85
96,72306,8135.38
97,73470,7810.01
98,29772,6686.8
99,29421,5519.42
100,63812,7197.85
101,58776,5929.37
102,113257,13860.2
103,181580,11251
104,56493,10554.8
105,115929,12594.2
106,74700,13007.4
107,93909,16556.7
108,64029,8632.6
109,94968,6750.08
110,50334,10810.4
111,84690,16012.2
112,141297,15433.4
113,72021,9230.23
114,117378,12954.3
115,133879,18341.6
116,72319,13344.5
117,129207,12538.2
118,39105,6643.95
119,120189,13180.1
120,100989,8419.98
121,114039,12680.4
122,47010,9775.59
123,53268,8576.49
124,120471,12350
125,59424,14122.8
126,44341,12224.7
127,60929,9319.48
128,122733,15520.2
129,157329,16821.2
130,94547,9049.17
131,156429,15141.9
132,239334,24456.5
133,132540,16116.5
134,106899,26522
135,102582,21960.8
136,58701,13185
137,136074,16277.9
138,69939,9908.77
139,289470,19753.3
140,1875,1846.87
